hr_record_id,person_id,entity_id,entity_legal_name,country_code,full_name,gender,role,role_instance,reporting_year,fixed_pay_eur,total_variable_pay_eur,total_compensation_eur,esg_bonus_weight_pct,esg_bonus_kpi_codes,esg_bonus_kpis,esg_training_required_flag,esg_training_completed_flag,esg_training_completion_date,climate_training_hours_yr,data_source,created_from
HR-EXEC-00003-2020,EXEC-00003,ENT-GROUP-001,Atlas Banking Group SA,FR,David Lefevre,male,CRO,3,2020,433100.0,114666.22,547766.22,28.8,FIN-012; FIN-005; ENV-005; GOV-001,"Financed emissions Scope 1, 2 and 3; Financed emissions data coverage; Energy cost; Board meetings with ESG agenda",True,False,,19,synthetic_hr_remuneration_and_training_snapshot,synthetic_hr_system_generation_v2_core_tables_aligned
HR-EXEC-00003-2021,EXEC-00003,ENT-GROUP-001,Atlas Banking Group SA,FR,David Lefevre,male,CRO,3,2021,459599.8,114265.47,573865.27,30.5,FIN-012; FIN-005; ENV-005; GOV-001,"Financed emissions Scope 1, 2 and 3; Financed emissions data coverage; Energy cost; Board meetings with ESG agenda",True,True,2021-01-19,22,synthetic_hr_remuneration_and_training_snapshot,synthetic_hr_system_generation_v2_core_tables_aligned
HR-EXEC-00003-2022,EXEC-00003,ENT-GROUP-001,Atlas Banking Group SA,FR,David Lefevre,male,CRO,3,2022,460562.01,108279.42,568841.44,33.4,FIN-012; FIN-005; ENV-005; GOV-001,"Financed emissions Scope 1, 2 and 3; Financed emissions data coverage; Energy cost; Board meetings with ESG agenda",True,True,2022-08-20,15,synthetic_hr_remuneration_and_training_snapshot,synthetic_hr_system_generation_v2_core_tables_aligned
HR-EXEC-00003-2023,EXEC-00003,ENT-GROUP-001,Atlas Banking Group SA,FR,David Lefevre,male,CRO,3,2023,525186.04,133072.37,658258.41,38.8,FIN-012; FIN-005; ENV-005; GOV-001,"Financed emissions Scope 1, 2 and 3; Financed emissions data coverage; Energy cost; Board meetings with ESG agenda",True,True,2023-04-13,27,synthetic_hr_remuneration_and_training_snapshot,synthetic_hr_system_generation_v2_core_tables_aligned
HR-EXEC-00003-2024,EXEC-00003,ENT-GROUP-001,Atlas Banking Group SA,FR,David Lefevre,male,CRO,3,2024,507009.82,126693.28,633703.1,37.6,FIN-012; FIN-005; ENV-005; GOV-001,"Financed emissions Scope 1, 2 and 3; Financed emissions data coverage; Energy cost; Board meetings with ESG agenda",True,True,2024-07-01,23,synthetic_hr_remuneration_and_training_snapshot,synthetic_hr_system_generation_v2_core_tables_aligned
HR-EXEC-00004-2019,EXEC-00004,ENT-GROUP-001,Atlas Banking Group SA,FR,Emma Costa,female,CSO,4,2019,439634.46,149555.81,589190.27,55.8,FIN-011; FIN-012; FIN-009; ENV-004; ENV-005,"Motor vehicle exposure; Financed emissions Scope 1, 2 and 3; Project finance exposure; Energy consumption; Energy cost",True,False,,52,synthetic_hr_remuneration_and_training_snapshot,synthetic_hr_system_generation_v2_core_tables_aligned
HR-EXEC-00004-2020,EXEC-00004,ENT-GROUP-001,Atlas Banking Group SA,FR,Emma Costa,female,CSO,4,2020,473642.86,147601.85,621244.71,47.1,FIN-011; FIN-012; FIN-009; ENV-004; ENV-005,"Motor vehicle exposure; Financed emissions Scope 1, 2 and 3; Project finance exposure; Energy consumption; Energy cost",True,True,2020-01-03,55,synthetic_hr_remuneration_and_training_snapshot,synthetic_hr_system_generation_v2_core_tables_aligned
HR-EXEC-00004-2021,EXEC-00004,ENT-GROUP-001,Atlas Banking Group SA,FR,Emma Costa,female,CSO,4,2021,524687.66,103234.44,627922.1,36.6,FIN-011; FIN-012; FIN-009; ENV-004; ENV-005,"Motor vehicle exposure; Financed emissions Scope 1, 2 and 3; Project finance exposure; Energy consumption; Energy cost",True,False,,43,synthetic_hr_remuneration_and_training_snapshot,synthetic_hr_system_generation_v2_core_tables_aligned
HR-EXEC-00004-2022,EXEC-00004,ENT-GROUP-001,Atlas Banking Group SA,FR,Emma Costa,female,CSO,4,2022,471116.04,149927.46,621043.5,63.5,FIN-011; FIN-012; FIN-009; ENV-004; ENV-005,"Motor vehicle exposure; Financed emissions Scope 1, 2 and 3; Project finance exposure; Energy consumption; Energy cost",True,True,2022-09-12,35,synthetic_hr_remuneration_and_training_snapshot,synthetic_hr_system_generation_v2_core_tables_aligned
HR-EXEC-00004-2023,EXEC-00004,ENT-GROUP-001,Atlas Banking Group SA,FR,Emma Costa,female,CSO,4,2023,494327.98,146299.83,640627.81,60.7,FIN-011; FIN-012; FIN-009; ENV-004; ENV-005,"Motor vehicle exposure; Financed emissions Scope 1, 2 and 3; Project finance exposure; Energy consumption; Energy cost",True,True,2023-07-09,52,synthetic_hr_remuneration_and_training_snapshot,synthetic_hr_system_generation_v2_core_tables_aligned
HR-EXEC-00004-2024,EXEC-00004,ENT-GROUP-001,Atlas Banking Group SA,FR,Emma Costa,female,CSO,4,2024,516441.39,158762.66,675204.05,56.1,FIN-011; FIN-012; FIN-009; ENV-004; ENV-005,"Motor vehicle exposure; Financed emissions Scope 1, 2 and 3; Project finance exposure; Energy consumption; Energy cost",True,True,2024-12-26,45,synthetic_hr_remuneration_and_training_snapshot,synthetic_hr_system_generation_v2_core_tables_aligned
HR-EXEC-00005-2019,EXEC-00005,ENT-GROUP-001,Atlas Banking Group SA,FR,Maya Dubois,female,BOARD_MEMBER,5,2019,105811.38,24002.59,129813.96,7.1,FIN-002; ENV-003,Outstanding loan exposure; Total operational Scope 1 and 2 emissions,True,False,,5,synthetic_hr_remuneration_and_training_snapshot,synthetic_hr_system_generation_v2_core_tables_aligned
HR-EXEC-00005-2020,EXEC-00005,ENT-GROUP-001,Atlas Banking Group SA,FR,Maya Dubois,female,BOARD_MEMBER,5,2020,123259.28,26399.82,149659.1,6.8,FIN-002; ENV-003,Outstanding loan exposure; Total operational Scope 1 and 2 emissions,True,False,,12,synthetic_hr_remuneration_and_training_snapshot,synthetic_hr_system_generation_v2_core_tables_aligned
HR-EXEC-00005-2021,EXEC-00005,ENT-GROUP-001,Atlas Banking Group SA,FR,Maya Dubois,female,BOARD_MEMBER,5,2021,113159.17,24748.52,137907.7,10.3,FIN-002; ENV-003,Outstanding loan exposure; Total operational Scope 1 and 2 emissions,True,True,2021-05-23,4,synthetic_hr_remuneration_and_training_snapshot,synthetic_hr_system_generation_v2_core_tables_aligned
HR-EXEC-00005-2022,EXEC-00005,ENT-GROUP-001,Atlas Banking Group SA,FR,Maya Dubois,female,BOARD_MEMBER,5,2022,124706.88,35764.91,160471.79,13.1,FIN-002; ENV-003,Outstanding loan exposure; Total operational Scope 1 and 2 emissions,True,False,,13,synthetic_hr_remuneration_and_training_snapshot,synthetic_hr_system_generation_v2_core_tables_aligned
HR-EXEC-00005-2023,EXEC-00005,ENT-GROUP-001,Atlas Banking Group SA,FR,Maya Dubois,female,BOARD_MEMBER,5,2023,134467.01,38404.72,172871.73,14.5,FIN-002; ENV-003,Outstanding loan exposure; Total operational Scope 1 and 2 emissions,True,True,2023-08-01,7,synthetic_hr_remuneration_and_training_snapshot,synthetic_hr_system_generation_v2_core_tables_aligned
HR-EXEC-00005-2024,EXEC-00005,ENT-GROUP-001,Atlas Banking Group SA,FR,Maya Dubois,female,BOARD_MEMBER,5,2024,117415.9,35856.21,153272.11,19.5,FIN-002; ENV-003,Outstanding loan exposure; Total operational Scope 1 and 2 emissions,True,False,,13,synthetic_hr_remuneration_and_training_snapshot,synthetic_hr_system_generation_v2_core_tables_aligned
HR-EXEC-00006-2019,EXEC-00006,ENT-GROUP-001,Atlas Banking Group SA,FR,Lina Garcia,male,BOARD_MEMBER,6,2019,95344.4,22655.93,118000.33,4.7,ENV-005; FIN-003,Energy cost; High-emission sector exposure,True,True,2019-11-13,11,synthetic_hr_remuneration_and_training_snapshot,synthetic_hr_system_generation_v2_core_tables_aligned
HR-EXEC-00006-2020,EXEC-00006,ENT-GROUP-001,Atlas Banking Group SA,FR,Lina Garcia,male,BOARD_MEMBER,6,2020,92197.13,20618.81,112815.93,10.3,ENV-005; FIN-003,Energy cost; High-emission sector exposure,True,True,2020-06-13,8,synthetic_hr_remuneration_and_training_snapshot,synthetic_hr_system_generation_v2_core_tables_aligned
HR-EXEC-00006-2021,EXEC-00006,ENT-GROUP-001,Atlas Banking Group SA,FR,Lina Garcia,male,BOARD_MEMBER,6,2021,94328.57,24887.07,119215.64,10.1,ENV-005; FIN-003,Energy cost; High-emission sector exposure,True,True,2021-01-02,17,synthetic_hr_remuneration_and_training_snapshot,synthetic_hr_system_generation_v2_core_tables_aligned
HR-EXEC-00006-2022,EXEC-00006,ENT-GROUP-001,Atlas Banking Group SA,FR,Lina Garcia,male,BOARD_MEMBER,6,2022,88682.36,19285.93,107968.29,13.3,ENV-005; FIN-003,Energy cost; High-emission sector exposure,True,False,,7,synthetic_hr_remuneration_and_training_snapshot,synthetic_hr_system_generation_v2_core_tables_aligned
HR-EXEC-00006-2023,EXEC-00006,ENT-GROUP-001,Atlas Banking Group SA,FR,Lina Garcia,male,BOARD_MEMBER,6,2023,89619.88,33645.33,123265.21,20.0,ENV-005; FIN-003,Energy cost; High-emission sector exposure,True,True,2023-07-10,7,synthetic_hr_remuneration_and_training_snapshot,synthetic_hr_system_generation_v2_core_tables_aligned
HR-EXEC-00006-2024,EXEC-00006,ENT-GROUP-001,Atlas Banking Group SA,FR,Lina Garcia,male,BOARD_MEMBER,6,2024,94206.93,28410.38,122617.31,18.5,ENV-005; FIN-003,Energy cost; High-emission sector exposure,True,True,2024-12-18,14,synthetic_hr_remuneration_and_training_snapshot,synthetic_hr_system_generation_v2_core_tables_aligned
HR-EXEC-00007-2019,EXEC-00007,ENT-GROUP-001,Atlas Banking Group SA,FR,Karim Garcia,male,BOARD_MEMBER,7,2019,106254.36,19458.16,125712.53,9.3,FIN-010; FIN-011,Real estate exposure; Motor vehicle exposure,True,False,,8,synthetic_hr_remuneration_and_training_snapshot,synthetic_hr_system_generation_v2_core_tables_aligned
HR-EXEC-00007-2020,EXEC-00007,ENT-GROUP-001,Atlas Banking Group SA,FR,Karim Garcia,male,BOARD_MEMBER,7,2020,109621.34,22013.55,131634.88,9.8,FIN-010; FIN-011,Real estate exposure; Motor vehicle exposure,True,False,,8,synthetic_hr_remuneration_and_training_snapshot,synthetic_hr_system_generation_v2_core_tables_aligned
HR-EXEC-00007-2021,EXEC-00007,ENT-GROUP-001,Atlas Banking Group SA,FR,Karim Garcia,male,BOARD_MEMBER,7,2021,114365.65,21064.86,135430.51,7.7,FIN-010; FIN-011,Real estate exposure; Motor vehicle exposure,True,False,,14,synthetic_hr_remuneration_and_training_snapshot,synthetic_hr_system_generation_v2_core_tables_aligned
HR-EXEC-00007-2022,EXEC-00007,ENT-GROUP-001,Atlas Banking Group SA,FR,Karim Garcia,male,BOARD_MEMBER,7,2022,118579.65,21315.1,139894.75,14.1,FIN-010; FIN-011,Real estate exposure; Motor vehicle exposure,True,True,2022-07-16,10,synthetic_hr_remuneration_and_training_snapshot,synthetic_hr_system_generation_v2_core_tables_aligned
HR-EXEC-00007-2023,EXEC-00007,ENT-GROUP-001,Atlas Banking Group SA,FR,Karim Garcia,male,BOARD_MEMBER,7,2023,122077.92,18271.44,140349.36,13.3,FIN-010; FIN-011,Real estate exposure; Motor vehicle exposure,True,False,,12,synthetic_hr_remuneration_and_training_snapshot,synthetic_hr_system_generation_v2_core_tables_aligned
HR-EXEC-00007-2024,EXEC-00007,ENT-GROUP-001,Atlas Banking Group SA,FR,Karim Garcia,male,BOARD_MEMBER,7,2024,116172.64,25770.16,141942.79,20.2,FIN-010; FIN-011,Real estate exposure; Motor vehicle exposure,True,True,2024-01-22,16,synthetic_hr_remuneration_and_training_snapshot,synthetic_hr_system_generation_v2_core_tables_aligned
HR-EXEC-00008-2019,EXEC-00008,ENT-GROUP-001,Atlas Banking Group SA,FR,Taylor Haddad,male,BOARD_MEMBER,8,2019,135236.45,18267.0,153503.45,9.6,FIN-011; ENV-001,Motor vehicle exposure; Scope 1 emissions,True,False,,7,synthetic_hr_remuneration_and_training_snapshot,synthetic_hr_system_generation_v2_core_tables_aligned
HR-EXEC-00008-2020,EXEC-00008,ENT-GROUP-001,Atlas Banking Group SA,FR,Taylor Haddad,male,BOARD_MEMBER,8,2020,123392.29,21274.7,144666.99,6.6,FIN-011; ENV-001,Motor vehicle exposure; Scope 1 emissions,True,False,,6,synthetic_hr_remuneration_and_training_snapshot,synthetic_hr_system_generation_v2_core_tables_aligned
HR-EXEC-00008-2021,EXEC-00008,ENT-GROUP-001,Atlas Banking Group SA,FR,Taylor Haddad,male,BOARD_MEMBER,8,2021,141621.56,19465.73,161087.3,9.1,FIN-011; ENV-001,Motor vehicle exposure; Scope 1 emissions,True,True,2021-04-19,5,synthetic_hr_remuneration_and_training_snapshot,synthetic_hr_system_generation_v2_core_tables_aligned
HR-EXEC-00008-2022,EXEC-00008,ENT-GROUP-001,Atlas Banking Group SA,FR,Taylor Haddad,male,BOARD_MEMBER,8,2022,137566.11,16914.28,154480.39,17.3,FIN-011; ENV-001,Motor vehicle exposure; Scope 1 emissions,True,True,2022-10-24,8,synthetic_hr_remuneration_and_training_snapshot,synthetic_hr_system_generation_v2_core_tables_aligned
HR-EXEC-00008-2023,EXEC-00008,ENT-GROUP-001,Atlas Banking Group SA,FR,Taylor Haddad,male,BOARD_MEMBER,8,2023,131860.69,23846.4,155707.09,14.5,FIN-011; ENV-001,Motor vehicle exposure; Scope 1 emissions,True,True,2023-09-10,16,synthetic_hr_remuneration_and_training_snapshot,synthetic_hr_system_generation_v2_core_tables_aligned
HR-EXEC-00008-2024,EXEC-00008,ENT-GROUP-001,Atlas Banking Group SA,FR,Taylor Haddad,male,BOARD_MEMBER,8,2024,136679.15,18292.34,154971.49,21.3,FIN-011; ENV-001,Motor vehicle exposure; Scope 1 emissions,True,True,2024-03-27,11,synthetic_hr_remuneration_and_training_snapshot,synthetic_hr_system_generation_v2_core_tables_aligned
HR-EXEC-00009-2019,EXEC-00009,ENT-FR-002,Atlas Retail Bank France SA,FR,Jordan Muller,male,CEO,1,2019,595856.66,403867.18,999723.84,25.0,FIN-006; ENV-004; FIN-007; FIN-002,SBTi-aligned exposure; Energy consumption; High transition risk exposure; Outstanding loan exposure,True,True,2019-05-09,5,synthetic_hr_remuneration_and_training_snapshot,synthetic_hr_system_generation_v2_core_tables_aligned
HR-EXEC-00009-2020,EXEC-00009,ENT-FR-002,Atlas Retail Bank France SA,FR,Jordan Muller,male,CEO,1,2020,545503.85,296267.75,841771.59,17.2,FIN-006; ENV-004; FIN-007; FIN-002,SBTi-aligned exposure; Energy consumption; High transition risk exposure; Outstanding loan exposure,True,True,2020-06-10,16,synthetic_hr_remuneration_and_training_snapshot,synthetic_hr_system_generation_v2_core_tables_aligned
HR-EXEC-00009-2021,EXEC-00009,ENT-FR-002,Atlas Retail Bank France SA,FR,Jordan Muller,male,CEO,1,2021,593070.96,316028.72,909099.67,24.2,FIN-006; ENV-004; FIN-007; FIN-002,SBTi-aligned exposure; Energy consumption; High transition risk exposure; Outstanding loan exposure,True,False,,16,synthetic_hr_remuneration_and_training_snapshot,synthetic_hr_system_generation_v2_core_tables_aligned
HR-EXEC-00009-2022,EXEC-00009,ENT-FR-002,Atlas Retail Bank France SA,FR,Jordan Muller,male,CEO,1,2022,627448.35,419798.4,1047246.75,27.6,FIN-006; ENV-004; FIN-007; FIN-002,SBTi-aligned exposure; Energy consumption; High transition risk exposure; Outstanding loan exposure,True,True,2022-11-07,19,synthetic_hr_remuneration_and_training_snapshot,synthetic_hr_system_generation_v2_core_tables_aligned
HR-EXEC-00009-2023,EXEC-00009,ENT-FR-002,Atlas Retail Bank France SA,FR,Jordan Muller,male,CEO,1,2023,631780.55,369230.13,1001010.68,33.2,FIN-006; ENV-004; FIN-007; FIN-002,SBTi-aligned exposure; Energy consumption; High transition risk exposure; Outstanding loan exposure,True,False,,17,synthetic_hr_remuneration_and_training_snapshot,synthetic_hr_system_generation_v2_core_tables_aligned
HR-EXEC-00009-2024,EXEC-00009,ENT-FR-002,Atlas Retail Bank France SA,FR,Jordan Muller,male,CEO,1,2024,631145.93,365569.27,996715.2,36.9,FIN-006; ENV-004; FIN-007; FIN-002,SBTi-aligned exposure; Energy consumption; High transition risk exposure; Outstanding loan exposure,True,True,2024-10-26,16,synthetic_hr_remuneration_and_training_snapshot,synthetic_hr_system_generation_v2_core_tables_aligned
HR-EXEC-00010-2019,EXEC-00010,ENT-FR-002,Atlas Retail Bank France SA,FR,Morgan Bianchi,female,CFO,2,2019,269016.34,98566.87,367583.21,14.4,FIN-002; ENV-004; ENV-002,Outstanding loan exposure; Energy consumption; Scope 2 location-based emissions,True,True,2019-08-11,8,synthetic_hr_remuneration_and_training_snapshot,synthetic_hr_system_generation_v2_core_tables_aligned
HR-EXEC-00010-2020,EXEC-00010,ENT-FR-002,Atlas Retail Bank France SA,FR,Morgan Bianchi,female,CFO,2,2020,243327.83,113972.7,357300.53,18.7,FIN-002; ENV-004; ENV-002,Outstanding loan exposure; Energy consumption; Scope 2 location-based emissions,True,True,2020-04-04,10,synthetic_hr_remuneration_and_training_snapshot,synthetic_hr_system_generation_v2_core_tables_aligned
HR-EXEC-00010-2021,EXEC-00010,ENT-FR-002,Atlas Retail Bank France SA,FR,Morgan Bianchi,female,CFO,2,2021,249454.13,116114.61,365568.74,16.2,FIN-002; ENV-004; ENV-002,Outstanding loan exposure; Energy consumption; Scope 2 location-based emissions,True,False,,10,synthetic_hr_remuneration_and_training_snapshot,synthetic_hr_system_generation_v2_core_tables_aligned
HR-EXEC-00010-2022,EXEC-00010,ENT-FR-002,Atlas Retail Bank France SA,FR,Morgan Bianchi,female,CFO,2,2022,284343.04,105341.63,389684.67,14.7,FIN-002; ENV-004; ENV-002,Outstanding loan exposure; Energy consumption; Scope 2 location-based emissions,True,True,2022-09-09,12,synthetic_hr_remuneration_and_training_snapshot,synthetic_hr_system_generation_v2_core_tables_aligned
HR-EXEC-00010-2023,EXEC-00010,ENT-FR-002,Atlas Retail Bank France SA,FR,Morgan Bianchi,female,CFO,2,2023,280512.71,136252.67,416765.38,25.8,FIN-002; ENV-004; ENV-002,Outstanding loan exposure; Energy consumption; Scope 2 location-based emissions,True,True,2023-01-25,9,synthetic_hr_remuneration_and_training_snapshot,synthetic_hr_system_generation_v2_core_tables_aligned
HR-EXEC-00010-2024,EXEC-00010,ENT-FR-002,Atlas Retail Bank France SA,FR,Morgan Bianchi,female,CFO,2,2024,254172.87,128959.24,383132.11,19.3,FIN-002; ENV-004; ENV-002,Outstanding loan exposure; Energy consumption; Scope 2 location-based emissions,True,True,2024-03-16,15,synthetic_hr_remuneration_and_training_snapshot,synthetic_hr_system_generation_v2_core_tables_aligned
HR-EXEC-00011-2019,EXEC-00011,ENT-FR-002,Atlas Retail Bank France SA,FR,Lea Muller,male,CRO,3,2019,721510.38,137530.69,859041.07,21.4,FIN-004; FIN-007; ENV-001; FIN-010,Average PCAF data quality score; High transition risk exposure; Scope 1 emissions; Real estate exposure,True,False,,13,synthetic_hr_remuneration_and_training_snapshot,synthetic_hr_system_generation_v2_core_tables_aligned
HR-EXEC-00011-2020,EXEC-00011,ENT-FR-002,Atlas Retail Bank France SA,FR,Lea Muller,male,CRO,3,2020,717728.12,164811.59,882539.71,29.7,FIN-004; FIN-007; ENV-001; FIN-010,Average PCAF data quality score; High transition risk exposure; Scope 1 emissions; Real estate exposure,True,True,2020-11-18,17,synthetic_hr_remuneration_and_training_snapshot,synthetic_hr_system_generation_v2_core_tables_aligned
HR-EXEC-00011-2021,EXEC-00011,ENT-FR-002,Atlas Retail Bank France SA,FR,Lea Muller,male,CRO,3,2021,767798.43,167879.03,935677.47,29.8,FIN-004; FIN-007; ENV-001; FIN-010,Average PCAF data quality score; High transition risk exposure; Scope 1 emissions; Real estate exposure,True,True,2021-04-09,12,synthetic_hr_remuneration_and_training_snapshot,synthetic_hr_system_generation_v2_core_tables_aligned
HR-EXEC-00011-2022,EXEC-00011,ENT-FR-002,Atlas Retail Bank France SA,FR,Lea Muller,male,CRO,3,2022,670045.33,166398.12,836443.45,32.6,FIN-004; FIN-007; ENV-001; FIN-010,Average PCAF data quality score; High transition risk exposure; Scope 1 emissions; Real estate exposure,True,True,2022-09-22,13,synthetic_hr_remuneration_and_training_snapshot,synthetic_hr_system_generation_v2_core_tables_aligned
HR-EXEC-00011-2023,EXEC-00011,ENT-FR-002,Atlas Retail Bank France SA,FR,Lea Muller,male,CRO,3,2023,743334.96,167893.22,911228.18,39.5,FIN-004; FIN-007; ENV-001; FIN-010,Average PCAF data quality score; High transition risk exposure; Scope 1 emissions; Real estate exposure,True,False,,21,synthetic_hr_remuneration_and_training_snapshot,synthetic_hr_system_generation_v2_core_tables_aligned
HR-EXEC-00011-2024,EXEC-00011,ENT-FR-002,Atlas Retail Bank France SA,FR,Lea Muller,male,CRO,3,2024,804892.69,200580.96,1005473.65,37.1,FIN-004; FIN-007; ENV-001; FIN-010,Average PCAF data quality score; High transition risk exposure; Scope 1 emissions; Real estate exposure,True,True,2024-07-06,18,synthetic_hr_remuneration_and_training_snapshot,synthetic_hr_system_generation_v2_core_tables_aligned
HR-EXEC-00012-2019,EXEC-00012,ENT-FR-002,Atlas Retail Bank France SA,FR,Riley Moreau,female,BOARD_MEMBER,4,2019,111312.54,22293.79,133606.33,3.8,FIN-010; FIN-001,Real estate exposure; Financed emissions Scope 1 and 2,True,False,,8,synthetic_hr_remuneration_and_training_snapshot,synthetic_hr_system_generation_v2_core_tables_aligned
HR-EXEC-00012-2020,EXEC-00012,ENT-FR-002,Atlas Retail Bank France SA,FR,Riley Moreau,female,BOARD_MEMBER,4,2020,112573.69,24484.79,137058.48,8.5,FIN-010; FIN-001,Real estate exposure; Financed emissions Scope 1 and 2,True,False,,9,synthetic_hr_remuneration_and_training_snapshot,synthetic_hr_system_generation_v2_core_tables_aligned
HR-EXEC-00012-2021,EXEC-00012,ENT-FR-002,Atlas Retail Bank France SA,FR,Riley Moreau,female,BOARD_MEMBER,4,2021,115364.15,30984.74,146348.89,13.3,FIN-010; FIN-001,Real estate exposure; Financed emissions Scope 1 and 2,True,False,,10,synthetic_hr_remuneration_and_training_snapshot,synthetic_hr_system_generation_v2_core_tables_aligned
